JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460831.764213,7.919,0.061,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.45,Z,,9.862,None,RR Lyr,AAVSO,STD,,,,
2460831.76484,7.912,0.054,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.445,Z,,9.85,None,RR Lyr,AAVSO,STD,,,,
2460831.765718,7.943,0.058,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.439,Z,,9.858,None,RR Lyr,AAVSO,STD,,,,
2460831.766095,7.896,0.065,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.437,Z,,9.904,None,RR Lyr,AAVSO,STD,,,,
2460831.766471,7.9,0.046,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.434,Z,,9.892,None,RR Lyr,AAVSO,STD,,,,
2460831.766846,7.929,0.072,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.432,Z,,9.911,None,RR Lyr,AAVSO,STD,,,,
2460831.7676,7.899,0.059,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.427,Z,,9.877,None,RR Lyr,AAVSO,STD,,,,
2460831.768102,7.905,0.053,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.424,Z,,9.886,None,RR Lyr,AAVSO,STD,,,,
2460831.768478,7.897,0.047,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.421,Z,,9.914,None,RR Lyr,AAVSO,STD,,,,
2460831.769231,7.917,0.067,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.416,Z,,9.861,None,RR Lyr,AAVSO,STD,,,,
2460831.769744,7.9,0.06,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.413,Z,,9.833,None,RR Lyr,AAVSO,STD,,,,
2460831.770122,7.892,0.073,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.411,Z,,9.837,None,RR Lyr,AAVSO,STD,,,,
2460831.770499,7.886,0.079,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.408,Z,,9.876,None,RR Lyr,AAVSO,STD,,,,
2460831.770874,7.94,0.077,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.406,Z,,9.891,None,RR Lyr,AAVSO,STD,,,,
2460831.771251,7.933,0.068,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.403,Z,,9.897,None,RR Lyr,AAVSO,STD,,,,
2460831.772255,7.926,0.066,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.397,Z,,9.893,None,RR Lyr,AAVSO,STD,,,,
2460831.772756,7.898,0.077,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.394,Z,,9.899,None,RR Lyr,AAVSO,STD,,,,
2460831.773758,7.892,0.068,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.388,Z,,9.883,None,RR Lyr,AAVSO,STD,,,,
2460831.774136,7.932,0.052,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.386,Z,,9.878,None,RR Lyr,AAVSO,STD,,,,
2460831.774513,7.923,0.046,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.383,Z,,9.837,None,RR Lyr,AAVSO,STD,,,,
2460831.774889,7.899,0.069,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.381,Z,,9.83,None,RR Lyr,AAVSO,STD,,,,
2460831.775265,7.965,0.07,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.379,Z,,9.898,None,RR Lyr,AAVSO,STD,,,,
2460831.775641,7.93,0.054,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.377,Z,,9.88,None,RR Lyr,AAVSO,STD,,,,
2460831.776017,7.964,0.065,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.374,Z,,9.907,None,RR Lyr,AAVSO,STD,,,,
2460831.776393,7.929,0.049,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.372,Z,,9.856,None,RR Lyr,AAVSO,STD,,,,
2460831.776769,7.924,0.051,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.37,Z,,9.844,None,RR Lyr,AAVSO,STD,,,,
2460831.777272,7.924,0.075,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.367,Z,,9.869,None,RR Lyr,AAVSO,STD,,,,
2460831.777773,7.925,0.051,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.364,Z,,9.851,None,RR Lyr,AAVSO,STD,,,,
2460831.778149,7.904,0.036,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.362,Z,,9.882,None,RR Lyr,AAVSO,STD,,,,
2460831.778525,7.897,0.052,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.36,Z,,9.896,None,RR Lyr,AAVSO,STD,,,,
2460831.778902,7.937,0.069,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.358,Z,,9.841,None,RR Lyr,AAVSO,STD,,,,
2460831.77928,7.928,0.079,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.355,Z,,9.944,None,RR Lyr,AAVSO,STD,,,,
2460831.779656,7.909,0.055,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.353,Z,,9.877,None,RR Lyr,AAVSO,STD,,,,
2460831.780031,7.954,0.045,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.351,Z,,9.876,None,RR Lyr,AAVSO,STD,,,,
2460831.780533,7.903,0.075,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.348,Z,,9.851,None,RR Lyr,AAVSO,STD,,,,
2460831.780909,7.946,0.053,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.346,Z,,9.858,None,RR Lyr,AAVSO,STD,,,,
2460831.781411,7.904,0.058,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.343,Z,,9.881,None,RR Lyr,AAVSO,STD,,,,
2460831.78179,7.914,0.071,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.341,Z,,9.825,None,RR Lyr,AAVSO,STD,,,,
2460831.782167,7.912,0.092,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.339,Z,,9.872,None,RR Lyr,AAVSO,STD,,,,
2460831.782668,7.924,0.077,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.337,Z,,9.909,None,RR Lyr,AAVSO,STD,,,,
2460831.783045,7.917,0.064,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.335,Z,,9.857,None,RR Lyr,AAVSO,STD,,,,
2460831.78342,7.906,0.053,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.333,Z,,9.859,None,RR Lyr,AAVSO,STD,,,,
2460831.783796,7.899,0.048,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.331,Z,,9.886,None,RR Lyr,AAVSO,STD,,,,
2460831.784172,7.899,0.061,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.329,Z,,9.902,None,RR Lyr,AAVSO,STD,,,,
2460831.784548,7.885,0.059,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.327,Z,,9.859,None,RR Lyr,AAVSO,STD,,,,
2460831.784925,7.904,0.043,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.325,Z,,9.865,None,RR Lyr,AAVSO,STD,,,,
2460831.785302,7.918,0.086,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.323,Z,,9.923,None,RR Lyr,AAVSO,STD,,,,
2460831.785677,7.907,0.077,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.321,Z,,9.866,None,RR Lyr,AAVSO,STD,,,,
2460831.786054,7.922,0.058,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.319,Z,,9.849,None,RR Lyr,AAVSO,STD,,,,
2460831.78643,7.927,0.047,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.317,Z,,9.88,None,RR Lyr,AAVSO,STD,,,,
2460831.786806,7.916,0.055,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.315,Z,,9.814,None,RR Lyr,AAVSO,STD,,,,
2460831.78781,7.911,0.068,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.31,Z,,9.841,None,RR Lyr,AAVSO,STD,,,,
2460831.788186,7.936,0.061,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.308,Z,,9.891,None,RR Lyr,AAVSO,STD,,,,
2460831.788688,7.901,0.061,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.305,Z,,9.867,None,RR Lyr,AAVSO,STD,,,,
2460831.789064,7.9,0.054,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.303,Z,,9.851,None,RR Lyr,AAVSO,STD,,,,
2460831.789441,7.894,0.059,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.301,Z,,9.921,None,RR Lyr,AAVSO,STD,,,,
2460831.789817,7.934,0.035,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.3,Z,,9.87,None,RR Lyr,AAVSO,STD,,,,
2460831.790194,7.921,0.057,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.298,Z,,9.892,None,RR Lyr,AAVSO,STD,,,,
2460831.79057,7.907,0.079,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.296,Z,,9.826,None,RR Lyr,AAVSO,STD,,,,
2460831.791323,7.916,0.057,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.292,Z,,9.888,None,RR Lyr,AAVSO,STD,,,,
2460832.738046,7.535,0.119,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.640,Z,,9.933,,RR LYR,AAVSO,STD,,,,
2460832.738724,7.555,0.085,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.634,Z,,10.010,,RR LYR,AAVSO,STD,,,,
2460832.739336,7.549,0.068,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.628,Z,,9.915,,RR LYR,AAVSO,STD,,,,
2460832.739875,7.550,0.066,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.623,Z,,9.858,,RR LYR,AAVSO,STD,,,,
2460832.740413,7.585,0.059,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.618,Z,,9.916,,RR LYR,AAVSO,STD,,,,
2460832.740952,7.574,0.053,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.613,Z,,9.906,,RR LYR,AAVSO,STD,,,,
2460832.741560,7.551,0.077,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.607,Z,,9.879,,RR LYR,AAVSO,STD,,,,
2460832.742100,7.556,0.096,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.603,Z,,9.977,,RR LYR,AAVSO,STD,,,,
2460832.742708,7.606,0.077,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.597,Z,,9.845,,RR LYR,AAVSO,STD,,,,
2460832.743247,7.558,0.090,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.592,Z,,9.907,,RR LYR,AAVSO,STD,,,,
2460832.743926,7.555,0.074,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.586,Z,,9.886,,RR LYR,AAVSO,STD,,,,
2460832.744464,7.550,0.095,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.582,Z,,9.984,,RR LYR,AAVSO,STD,,,,
2460832.745003,7.545,0.095,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.577,Z,,9.883,,RR LYR,AAVSO,STD,,,,
2460832.745542,7.558,0.103,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.572,Z,,9.913,,RR LYR,AAVSO,STD,,,,
2460832.746080,7.583,0.091,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.568,Z,,9.897,,RR LYR,AAVSO,STD,,,,
2460832.746622,7.575,0.082,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.563,Z,,9.974,,RR LYR,AAVSO,STD,,,,
2460832.747160,7.599,0.077,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.559,Z,,9.911,,RR LYR,AAVSO,STD,,,,
2460832.747698,7.537,0.093,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.554,Z,,9.899,,RR LYR,AAVSO,STD,,,,
2460832.748370,7.595,0.104,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.549,Z,,9.990,,RR LYR,AAVSO,STD,,,,
2460832.748976,7.557,0.086,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.544,Z,,9.898,,RR LYR,AAVSO,STD,,,,
2460832.749515,7.553,0.064,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.539,Z,,9.969,,RR LYR,AAVSO,STD,,,,
2460832.750053,7.564,0.082,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.535,Z,,9.906,,RR LYR,AAVSO,STD,,,,
2460832.750593,7.549,0.101,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.531,Z,,9.905,,RR LYR,AAVSO,STD,,,,
2460832.751131,7.598,0.088,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.526,Z,,9.920,,RR LYR,AAVSO,STD,,,,
2460832.751737,7.609,0.096,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.522,Z,,9.899,,RR LYR,AAVSO,STD,,,,
2460832.752343,7.629,0.067,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.517,Z,,10.011,,RR LYR,AAVSO,STD,,,,
2460832.752881,7.569,0.103,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.513,Z,,9.875,,RR LYR,AAVSO,STD,,,,
2460832.753420,7.605,0.090,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.509,Z,,9.876,,RR LYR,AAVSO,STD,,,,
2460832.753958,7.599,0.079,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.504,Z,,9.907,,RR LYR,AAVSO,STD,,,,
